driving_distance,from_center,to_center
270.32,GHSTP,GWZTP
561.05,GHSTP,NGRTP
820.94,GHSTP,AWGTP
928.49,GHSTP,CRITP
190.43,GHSTP,GBWOR
128.32,GHSTP,GHBTP
42.68,GHSTP,GKSTP
352.7,GHSTP,GNBTP
1071.29,GHSTP,HBSTP
499.68,GHSTP,NLBTP
369.14,GHSTP,BANTP
960.03,GHSTP,CZATP
400.1,GHSTP,GBYOR
655.94,GHSTP,GHGTP
542.95,GHSTP,GLPTP
499.16,GHSTP,GNDOR
1324.57,GHSTP,HDBTP
275.45,GHSTP,NMSTP
963.01,GHSTP,CZMTP
617.88,GHSTP,GDRTP
360.33,GHSTP,GHMTP
702.66,GHSTP,GLUTP
694.22,GHSTP,GNOOR
1139.93,GHSTP,HPCTP
378.97,GHSTP,NNYTP
363.46,GHSTP,BBRTP
272.96,GHSTP,GAKTP
284.65,GHSTP,GDUTP
499.48,GHSTP,GHOTP
110.04,GHSTP,GMATP
320.21,GHSTP,GNWOR
1238.95,GHSTP,HSZTP
473.82,GHSTP,NRDTP
400.62,GMHTP,AGATP
808.12,GMHTP,BGETP
84.04,GMHTP,GAUTP
630.32,GMHTP,GESTP
411.25,GMHTP,GHSTP
0,GMHTP,GMHTP
432.54,GMHTP,GOSOR
647.98,GMHTP,HUNOR
838.41,GMHTP,NRSTP
165.84,GMHTP,AIBTP
749.1,GMHTP,BLATP
644.88,GMHTP,GBBTP
375.51,GMHTP,GFDTP
372.36,GMHTP,GJETP
431.63,GMHTP,GMIOR
533.85,GMHTP,LLXTP
788.24,GMHTP,NUTTP
788.24,GMHTP,NUWTP
347.74,GMHTP,AKTTP
736.93,GMHTP,BLETP
736.93,GMHTP,BLMTP
581.69,GMHTP,GBCTP
391.93,GMHTP,GFMTP
888.1,GMHTP,GKITP
12.54,GMHTP,GMLTP
775.12,GMHTP,GROTP
816.57,GMHTP,NAETP
413.68,GMHTP,SLOTP
237.99,GMHTP,AOETP
662.84,GMHTP,BLGTP
572.75,GMHTP,GBETP
420.94,GMHTP,GFRTP
576.11,GMHTP,GKKTP
674.78,GMHTP,GMNTP
231.02,GMHTP,GSTTP
825.04,GMHTP,NAVTP
239.15,GMHTP,AOLTP
548.63,GMHTP,CHROR
760.12,GMHTP,GBMTP
447.97,GMHTP,GGITP
576.11,GMHTP,GKLTP
483.2,GMHTP,GMRTP
258.48,GMHTP,GTUTP
823.58,GMHTP,NAMTP
823.58,GMHTP,NAWTP
399.45,GMHTP,AWDTP
829.64,GMHTP,COSTP
564.17,GMHTP,GBOTP
438.54,GMHTP,GHATP
570.85,GMHTP,GKMTP
430.59,GMHTP,GMZTP
276.72,GMHTP,GWZTP
829.58,GMHTP,NGRTP
401.2,GMHTP,AWGTP
514.06,GMHTP,CRITP
232.54,GMHTP,GBWOR
347.49,GMHTP,GHBTP
386.77,GMHTP,GKSTP
191.24,GMHTP,GNBTP
651.54,GMHTP,HBSTP
839.71,GMHTP,NLBTP
773.05,GMHTP,BANTP
545.6,GMHTP,CZATP
12.54,GMHTP,GBYOR
802.95,GMHTP,GHGTP
429.63,GMHTP,GLPTP
632.9,GMHTP,GNDOR
904.82,GMHTP,HDBTP
676.44,GMHTP,NMSTP
548.58,GMHTP,CZMTP
468.48,GMHTP,GDRTP
493.92,GMHTP,GHMTP
826.86,GMHTP,GLUTP
580.9,GMHTP,GNOOR
720.19,GMHTP,HPCTP
725.86,GMHTP,NNYTP
767.36,GMHTP,BBRTP
646.67,GMHTP,GAKTP
608.95,GMHTP,GDUTP
633.07,GMHTP,GHOTP
358.3,GMHTP,GMATP
632.27,GMHTP,GNWOR
819.2,GMHTP,HSZTP
840.29,GMHTP,NRDTP
743.32,GOSOR,AGATP
705.68,GOSOR,BGETP
418.04,GOSOR,GAUTP
457.25,GOSOR,GESTP
546.43,GOSOR,GHSTP
436.09,GOSOR,GMHTP
0,GOSOR,GOSOR
773.95,GOSOR,HUNOR
662.88,GOSOR,NRSTP
603,GOSOR,AIBTP
678.63,GOSOR,BLATP
440.84,GOSOR,GBBTP
297.46,GOSOR,GFDTP
109.96,GOSOR,GJETP
432.95,GOSOR,GMIOR
614.4,GOSOR,LLXTP
601.84,GOSOR,NUTTP
601.84,GOSOR,NUWTP
785.02,GOSOR,AKTTP
659.93,GOSOR,BLETP
659.93,GOSOR,BLMTP
180.05,GOSOR,GBCTP
398.81,GOSOR,GFMTP
486.1,GOSOR,GKITP
450.05,GOSOR,GMLTP
373.48,GOSOR,GROTP
622.34,GOSOR,NAETP
850.96,GOSOR,SLOTP
494.03,GOSOR,AOETP
624.57,GOSOR,BLGTP
171.1,GOSOR,GBETP
656.42,GOSOR,GFRTP
504.69,GOSOR,GKKTP
444.45,GOSOR,GMNTP
483.21,GOSOR,GSTTP
628.89,GOSOR,NAVTP
493.65,GOSOR,AOLTP
924.77,GOSOR,CHROR
358.13,GOSOR,GBMTP
354.43,GOSOR,GGITP
504.69,GOSOR,GKLTP
335.74,GOSOR,GMRTP
532.4,GOSOR,GTUTP
626.54,GOSOR,NAMTP
626.54,GOSOR,NAWTP
590.5,GOSOR,AWDTP
1012.8,GOSOR,COSTP
507.92,GOSOR,GBOTP
39.55,GOSOR,GHATP
498.62,GOSOR,GKMTP
423.91,GOSOR,GMZTP
332.13,GOSOR,GWZTP
535.33,GOSOR,NGRTP
584.52,GOSOR,AWGTP
951.34,GOSOR,CRITP
480.66,GOSOR,GBWOR
479.58,GOSOR,GHBTP
505.69,GOSOR,GKSTP
290.77,GOSOR,GNBTP
777.51,GOSOR,HBSTP
667.68,GOSOR,NLBTP
655.03,GOSOR,BANTP
922.88,GOSOR,CZATP
450.05,GOSOR,GBYOR
400.96,GOSOR,GHGTP
10.34,GOSOR,GLPTP
254.33,GOSOR,GNDOR
1030.8,GOSOR,HDBTP
590.91,GOSOR,NMSTP
925.86,GOSOR,CZMTP
117.64,GOSOR,GDRTP
242.43,GOSOR,GHMTP
425.21,GOSOR,GLUTP
179.26,GOSOR,GNOOR
986.13,GOSOR,HPCTP
565.39,GOSOR,NNYTP
700.99,GOSOR,BBRTP
568.13,GOSOR,GAKTP
484.06,GOSOR,GDUTP
252.47,GOSOR,GHOTP
472.09,GOSOR,GMATP
455.11,GOSOR,GNWOR
945.18,GOSOR,HSZTP
664.75,GOSOR,NRDTP
338.22,HUNOR,AGATP
1401.68,HUNOR,BGETP
720.19,HUNOR,GAUTP
1199.28,HUNOR,GESTP
1068.45,HUNOR,GHSTP
646.89,HUNOR,GMHTP
774.52,HUNOR,GOSOR
0,HUNOR,HUNOR
1407.38,HUNOR,NRSTP
726.18,HUNOR,AIBTP
1344.22,HUNOR,BLATP
1197.82,HUNOR,GBBTP
944.47,HUNOR,GFDTP
797.4,HUNOR,GJETP
996.62,HUNOR,GMIOR
1188.96,HUNOR,LLXTP
1357.2,HUNOR,NUTTP
1357.2,HUNOR,NUWTP
468.86,HUNOR,AKTTP
1325.52,HUNOR,BLETP
1325.52,HUNOR,BLMTP
880.17,HUNOR,GBCTP
960.89,HUNOR,GFMTP
1221.8,HUNOR,GKITP
689.34,HUNOR,GMLTP
1096.32,HUNOR,GROTP
1393.75,HUNOR,NAETP
457,HUNOR,SLOTP
429.82,HUNOR,AOETP
1272.08,HUNOR,BLGTP
872.06,HUNOR,GBETP
1057.09,HUNOR,GFRTP
1145.08,HUNOR,GKKTP
1215.87,HUNOR,GMNTP
867.17,HUNOR,GSTTP
1400.31,HUNOR,NAVTP
430.99,HUNOR,AOLTP
343.57,HUNOR,CHROR
1129.55,HUNOR,GBMTP
1016.93,HUNOR,GGITP
1145.08,HUNOR,GKLTP
1052.17,HUNOR,GMRTP
894.63,HUNOR,GTUTP
1397.96,HUNOR,NAMTP
1397.96,HUNOR,NAWTP
246.21,HUNOR,AWDTP
262.39,HUNOR,COSTP
1133.13,HUNOR,GBOTP
810.96,HUNOR,GHATP
1139.81,HUNOR,GKMTP
995.58,HUNOR,GMZTP
845.68,HUNOR,GWZTP
1306.74,HUNOR,NGRTP
240.49,HUNOR,AWGTP
500.18,HUNOR,CRITP
868.69,HUNOR,GBWOR
955.8,HUNOR,GHBTP
1028.1,HUNOR,GKSTP
760.2,HUNOR,GNBTP
3.83,HUNOR,HBSTP
1408.67,HUNOR,NLBTP
1351.03,HUNOR,BANTP
340.53,HUNOR,CZATP
689.34,HUNOR,GBYOR
1157.36,HUNOR,GHGTP
771.86,HUNOR,GLPTP
1025.74,HUNOR,GNDOR
234.83,HUNOR,HDBTP
1245.4,HUNOR,NMSTP
339.68,HUNOR,CZMTP
670.79,HUNOR,GDRTP
999.42,HUNOR,GHMTP
1148.05,HUNOR,GLUTP
879.38,HUNOR,GNOOR
235.72,HUNOR,HPCTP
1294.83,HUNOR,NNYTP
1366.57,HUNOR,BBRTP
